date,pdf_url,text_relpath,chars,sha256_bytes
2025-10-06 00:00:00,https://bocyl.jcyl.es/boletines/2025/10/06/pdf/BOCYL-D-06102025-32.pdf,texts/BOCYL-D-06102025-32.txt,4619,7795615490adccc62276d96b1472137ea43903659afa47759506dfe117118b70
2025-10-02 00:00:00,https://bocyl.jcyl.es/boletines/2025/10/02/pdf/BOCYL-D-02102025-32.pdf,texts/BOCYL-D-02102025-32.txt,8339,e989de27ad41b46ecf2dce0e0b72acece8d2524c8d753a3ea5a5d5eb841b1007
2025-09-30 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/30/pdf/BOCYL-D-30092025-18.pdf,texts/BOCYL-D-30092025-18.txt,42679,c4368ef529ce25f4dfc6f5a3500a280b697071f60ede1f1082e058a853ab90b9
2025-09-30 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/30/pdf/BOCYL-D-30092025-19.pdf,texts/BOCYL-D-30092025-19.txt,22414,798e537c9d61c77f49dc7abe325d1bd7603ea4429700a4db0a926101842a8206
2025-09-26 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/26/pdf/BOCYL-D-26092025-2.pdf,texts/BOCYL-D-26092025-2.txt,173602,f76639a21ee0a1a457113abc16053eba87b8c66e5868b4f72a9409617de7f15d
2025-09-26 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/26/pdf/BOCYL-D-26092025-11.pdf,texts/BOCYL-D-26092025-11.txt,50264,1a75fd91272717a2affdbe03af2d0a5ee76509678424599676482486146f6c6d
2025-09-25 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/25/pdf/BOCYL-D-25092025-23.pdf,texts/BOCYL-D-25092025-23.txt,2245,ff92765596d9e36c5ca000356d426ea2799b5737e4ffb7142abab60d035926e6
2025-09-25 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/25/pdf/BOCYL-D-25092025-24.pdf,texts/BOCYL-D-25092025-24.txt,14893,0686b2623c05a94de6e74fc27e9112ad5c1a5c11030d176e4c11e8f5cda6c8da
2025-09-24 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/24/pdf/BOCYL-D-24092025-10.pdf,texts/BOCYL-D-24092025-10.txt,6262,15471ff0f5d5ed4a3c64653ea15442c6dedcb35a645a4a2db8732f76f0ef5ce0
2025-09-24 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/24/pdf/BOCYL-D-24092025-9.pdf,texts/BOCYL-D-24092025-9.txt,6817,1248b0fdbf82c4c53cf3dfd4df27491a10e01f98176085732027feec48830176
2025-09-24 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/24/pdf/BOCYL-D-24092025-2.pdf,texts/BOCYL-D-24092025-2.txt,17060,3af0f949b9c9cf03e72f17f551d619222faaf861e1190e419960f001f4648910
2025-09-24 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/24/pdf/BOCYL-D-24092025-8.pdf,texts/BOCYL-D-24092025-8.txt,6814,b19dc2cf3be28f0a3babd33d9b5bf85b8b17ae811da024f0a196abf5ac1a05c0
2025-09-18 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/18/pdf/BOCYL-D-18092025-11.pdf,texts/BOCYL-D-18092025-11.txt,4089,e50fa84f1c0f62b27b797d7e39a569ebf9f16e3002df0702b5a10ddf3d0e368b
2025-09-17 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/17/pdf/BOCYL-D-17092025-21.pdf,texts/BOCYL-D-17092025-21.txt,5247,bef21260ebb6b1e2ec674a0cccf5551bc0c59b32fcc896095493284bade581e9
2025-09-16 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/16/pdf/BOCYL-D-16092025-7.pdf,texts/BOCYL-D-16092025-7.txt,5277,e6da878db1a532e1c9e7413b944503dec8b8fbff6f556325a31b566cbfc3fa0b
2025-09-15 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/15/pdf/BOCYL-D-15092025-8.pdf,texts/BOCYL-D-15092025-8.txt,10760,d13c77e5f92e1f648c29bd02cbc4bf6920998970b7ff9ade4090ff9b7b043ec5
2025-09-15 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/15/pdf/BOCYL-D-15092025-19.pdf,texts/BOCYL-D-15092025-19.txt,4857,5eab97d1cda76a5f1b75ea48933b56b87bcdee99a647ada178d48deb173e2a9b
2025-09-12 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/12/pdf/BOCYL-D-12092025-16.pdf,texts/BOCYL-D-12092025-16.txt,8635,fd4bbc37a2a2af3f25b4c312c5ca744349a2656f07ff98457e89be7cbf3ef08b
2025-09-11 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/11/pdf/BOCYL-D-11092025-19.pdf,texts/BOCYL-D-11092025-19.txt,4655,e800cc5233ad67346fb1132e662043aca490b425d08465868caabcba8b0cffe2
2025-09-11 00:00:00,https://bocyl.jcyl.es/boletines/2025/09/11/pdf/BOCYL-D-11092025-13.pdf,texts/BOCYL-D-11092025-13.txt,34021,7f5513ac46db8c83ca19d6b50b831e9b59f8b34e65f108ece6063ba7b8dc4262
